,patient_id,threshold,community_size,f1_mean,f1_std,f1_median,f1_min,f1_max,precision_mean,precision_std,precision_median,precision_min,precision_max,recall_mean,recall_std,recall_median,recall_min,recall_max
586,R507-0018,0.85,112,0.3559957029330927,0.017801070941906548,0.3605513901905654,0.33470806302131606,0.38031674208144794,0.3180801720293596,0.00785250742998937,0.31609820996613447,0.30838815789473684,0.32951451905626133,0.4084175084175084,0.031695300547119165,0.41435185185185186,0.3667929292929293,0.44991582491582494
587,R507-0018,0.9,46,0.38128387261933744,0.004939641084834754,0.38131313131313127,0.3734848484848485,0.3859427609427609,0.32184978567494393,0.004893440476392203,0.3222155448717949,0.31381118881118886,0.3261217948717949,0.4676767676767677,0.0045974740354586974,0.46696127946127947,0.4612794612794613,0.47264309764309764
588,R507-0018,0.95,4,0.38040108628396746,0.007875758989793652,0.3762498188668309,0.3729104314183517,0.3920454545454546,0.32219827110145804,0.003177680609431476,0.3212923728813559,0.31919116069512976,0.32748868778280543,0.4647727272727273,0.017233807827389886,0.4545454545454546,0.44886363636363635,0.48863636363636365
589,R507-0018,0.98,0,,,,,,,,,,,,,,,
590,R508-0010,0.75,189,0.35498177461232117,0.034669533202127255,0.34191176470588236,0.316681338028169,0.40351086380498147,0.4395211975530568,0.11745628311514149,0.3717948717948718,0.3515625,0.6259074410163339,0.3298611111111111,0.04364791882668902,0.33333333333333337,0.28125,0.3819444444444444
591,R508-0010,0.85,48,0.3968037940611713,0.03702237293153877,0.38738451736221724,0.34958692528735635,0.4495798319327731,0.4516924859590033,0.12897548332433054,0.37132784958871917,0.35581306990881456,0.6527777777777778,0.40041666666666664,0.0295469585972174,0.40555555555555556,0.3506944444444444,0.4298611111111111
592,R508-0010,0.9,15,0.3649168322288455,0.027465935597443494,0.378972378972379,0.3186874304783092,0.38385453683961146,0.38647974938192603,0.07244970338475144,0.3524251805985552,0.3293780687397709,0.49489247311827955,0.38069444444444445,0.037546267753562707,0.3923611111111111,0.3173611111111111,0.41180555555555554
593,R508-0010,0.95,0,,,,,,,,,,,,,,,
594,R508-0010,0.98,0,,,,,,,,,,,,,,,
595,R508-0012,0.75,254,0.2246178086619263,0.05741781249130778,0.24358974358974358,0.125,0.26785714285714285,0.28528860028860026,0.08256242496905276,0.303030303030303,0.15,0.375,0.21928571428571428,0.06406708856140331,0.24285714285714285,0.10714285714285714,0.2642857142857143
596,R508-0012,0.85,131,0.17635281385281384,0.053273912582154706,0.16666666666666666,0.10416666666666666,0.24545454545454548,0.24034188034188034,0.12253778310809262,0.18055555555555555,0.14615384615384616,0.4375,0.18,0.05258617805515989,0.18214285714285713,0.09642857142857142,0.23928571428571427
597,R508-0012,0.9,59,0.22829830257461833,0.02670883436081723,0.22023809523809523,0.19791666666666666,0.26309523809523805,0.3146353646353646,0.05936864748195188,0.3035714285714286,0.25396825396825395,0.38636363636363635,0.2357142857142857,0.03535533905932737,0.23928571428571427,0.20357142857142857,0.28928571428571426
598,R508-0012,0.95,8,0.24961877229524287,0.051748087962362715,0.2340686274509804,0.21142857142857144,0.3364285714285714,0.2501600815764902,0.05766306969578253,0.2222222222222222,0.21008403361344535,0.3472222222222222,0.345,0.054198708471697,0.325,0.3,0.425
599,R508-0012,0.98,0,,,,,,,,,,,,,,,
600,R508-0013,0.75,243,0.06095238095238095,0.06318726442478363,0.07142857142857142,0.0,0.15,0.1375,0.128086884574495,0.1875,0.0,0.25,0.043333333333333335,0.05116693811002917,0.041666666666666664,0.0,0.125
601,R508-0013,0.85,103,0.0869047619047619,0.058865406262267224,0.08333333333333333,0.0,0.15476190476190477,0.20833333333333334,0.18633899812498247,0.16666666666666666,0.0,0.5,0.058333333333333334,0.03996526269427267,0.05,0.0,0.1
